"Restitui","Davi Sacer"
"Rompendo em fé","Kleber Lucas"
"Rosto De Cristo",""
"Sala Do Trono","Brás Adoração"
"Sala do trono","Alda Célia"
"Salmos 121","Coral Resgate"
"Santificação","Elaine Martins"
"Santo","Jozyanne"
"Santo Espírito","Laura Souguelis"
"Santo Espirito (Enche a Casa)","Weslei Santos"
"Santo Espírito de Deus","Brás Adoração"
"Santo Espírito vem","Gabriela Rocha"
"Santo, Santo, Santo","Renascer Praise"
"Saudades de Casa","Jefferson e Suellen"
"Se eu apenas Te tocar","Mariana Valadão"
"Se eu me Humilhar","Discopraise"
"Seguirei","Rose Nascimento"
"Seja bem vindo","Eyshila"
"Sem exclusividade","Eliã Oliveira"
"Sempre comigo",""
"Sempre Fiel","Rose Nascimento"
"Sempre Vou Lembrar",""
"Senhor formoso És","Marcos Góes"
"Ser reconhecido por Deus","Renascer Praise"
"Song List",""
"Title","Author"
"Sete Trombetas","Lauriete"
"Sete vezes mais",""
"Só o amor pode","Kleber Moura"
"Só o Amor Pode",""
"Só pra Te adorar",""
"Só quem tem raiz","Sarah Farias"
"Só Quero Te Amar Mais Que Ontem",""
"Só quero ver Você","Laura Souguellis ft. Rodolfo Abrantes"
"Só Tu és santo","Ministério Morada"
"Sobre as águas","Trazendo a Arca"
"Sobrevivi","Sarah Farias"
"Sobrevivi","Shirley Carvalhaes"
"Soldado Ferido",""
"Som Das Águas","CONFERÊNCIA 2021"
"Sonda-me","Marco Aurélio"
"Sonda-me","Aline Barros"
"sou casa",""
"Sou Eu","Fabiana Anastácio"
"Sou Jesus",""
"Sou um Milagre","Voz da Verdade"
"Sua Presença é tudo pra mim","Renan Sampaio"
"Tá chorando por quê?","Preto No Branco"
"Te agradeço","Diante do Trono"
"Te agradeço","Preto no Branco"
"Te Escolheu pra vencer","Michele Nascimento"
"Te exaltamos","Livres para adorar ft. Daniela Araújo"
"Te Louvarei","Trazendo a Arca"
"Tempo","Kleber Moura"
"Terra do Pão - Voz da verdade",""
"Terras tremem","Brazilian Salt"
"Terremoto","Eyshila"
"Teu Espírito",""
"Teu Pra Sempre","Brazilian Salt"
"Teu Reino","Ministério Cristo Vivo"
"Teu Santo Nome","Gabriela Rocha"
"Tô Chegando",""
"Toca em mim de novo","CONFERÊNCIA 2021"
"Todavia me alegrarei","Leandro Soares"
"Todo Poderoso","Casisane"
"Toque em Cristo","Nani Azevedo"
"Tu És bom","Adoração & Adoradores"
"Tu És O Centro","Beatriz"
"Song List",""
"Title","Author"
"Tu És O Rei Dos Reis",""
"Tua Criança","Gabriel"
"Tua Graça","Coral Resgate"
"Tua Graça me basta","Toque no Altar"
"Tua presença","Paulo Neto"
"Tua presença","Kleber Moura"
"Tudo a ver com Ele","Conferência 2019"
"Tudo vai ser Diferente","Brás Adoração"
"Tudo, ó Cristo, a Ti entrego","Arautos do Rei"
"Um De Nós","Prisma Brasil"
"Um Deus grandão  ",""
"Um vaso novo","Thalles Roberto"
"Uma chance igual a essa","Gabriel Vassan"
"Uma Coisa","Morada"
"Uma nova história","Fernandinho"
"Vai Dar Tudo Certo",""
"Vai passar","Gerson Rufino"
"Vai valer a pena","Livres para adorar"
"Vaso de alabastro","Mara Lima"
"Vejo o Senhor","Igreja Biblica da Paz"
"Vem ao meu encontro","Brás Adoração"
"Vem cantar louvores","Brás Adoração"
"Vem coisa nova por aí","Léa Mendonça"
"Vem com Glória - Elaine de Jesus",""
"Vem com Josué lutar em Jericó",""
"Vem Pra Fora",""
"Vem se mover",""
"Vendavais","Shirley Carvalhaes"
"Venha ao Altar","Filipe Lancaster"
"Vento do Espírito","Bruna Karla"
"Vento Impetuoso","Casa Worship"
"Vida De Paz","Mattos Nascimento"
"Vim Para Adorar-Te",""
"Vinho Novo","José Wellington"
"Visitantes",""
"Vitoria","Kemuel"
"Vitória no deserto","Aline Barros"
"Vitorioso És","Gabriel Guedes"
"Viverei Milagres","Vanilda Bordieri"
"Vivo Estás",""
"Você é marcado","Brás Adoração"
"Você não vai parar","Samuel Messias"
"Song List","","",""
"Title","","","Author"
"Vou confiar","","","Kleber Moura"
"Vou te adorar","","",""
"Your Great Name","","",""
"","633","Total Songs",""
